id,title,type,status,ProcessingTime,Participation,Consensus
122,Add CMST Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 2 minutes",0.963561802,0.9689
123,Setup Comdex IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.963561557,0.9693
111,Setup Kujira IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.951380499,0.9996
113,Add USK Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.951371901,0.9999
112,Add KUJI Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.951360694,0.9999
126,Pool Incentives for GRAVUSK on Kujira,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.948406602,0.66
108,Gravity Bridge to go Carbon Neutral,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.947385446,0.5304
124,Unfreeze IBC Client for HAQQ TestEdge2,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.941961871,0.9666
193,Enhancing Gravity Bridge through AlphaGrowth BD,MsgExecLegacyContent,PASSED,"5 days, 6 hours 1 minutes",0.938388301,0.1213
236,Neutrino Upgrade,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.937016122,1.0
76,Pause bridge operations starting 48 hours before ETH merge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.935660976,0.9992
116,Setup Planq IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.9309592,0.9999
115,Add PLQ Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.93090263,1.0
99,Setup Terra Classic IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.930271496,0.9622
83,Setup FUND IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.926147887,0.9999
82,Add FUND Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.926133807,0.9999
63,Update Canto IBC AutoForwarding Channel,MsgExecLegacyContent,PASSED,"5 days, 0 hours 3 minutes",0.916431072,0.9999
153,Gravity Bridge to go Carbon Neutral CosmosZERO Followon to Proposal 108,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.894754131,0.5875
208,Decrease Gravity Bridge fees to 1 basis point,MsgExecLegacyContent,PASSED,"5 days, 0 hours 6 minutes",0.890163481,0.9929
156,Proposal for external incentives to Cresecent DEX LP bCREGRAV,MsgExecLegacyContent,PASSED,"5 days, 19 hours 42 minutes",0.881078688,0.9999
173,Bug Bounty Vault Proposal by Hats Finance,MsgExecLegacyContent,PASSED,"6 days, 12 hours 15 minutes",0.878281477,0.9927
187,Enable Interchain Accounts Host module,MsgExecLegacyContent,PASSED,"5 days, 0 hours 6 minutes",0.878280043,1.0
174,Proposal to Create New USDCgrvUSDTgrv Stableswap LP on Crescent DEX and add external incentives,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.873818261,0.8838
81,Reduce batch timeouts and update timeout parameters,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.872706105,0.9999
92,Add ISLM Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 2 minutes",0.869713245,0.9999
141,Add JUNO Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 18 minutes",0.869010692,0.9098
140,Setup Juno IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.868919325,0.9097
157,Proposal for external incentives to Cresecent DEX new LP SHIBgrvbCRE,MsgExecLegacyContent,PASSED,"5 days, 19 hours 21 minutes",0.86857568,0.8491
100,Setup Acrechain IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 9 minutes",0.868456916,0.9999
226,Round2 Gravity Growth and Sustainability Grant,MsgExecLegacyContent,PASSED,"5 days, 1 hours 17 minutes",0.863090152,0.9999
225,Reduce inflation from 55 to 4,MsgExecLegacyContent,PASSED,"5 days, 1 hours 29 minutes",0.861123554,0.9966
222,Add Neutaro Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.857971594,0.9999
44,Setup Iris IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.853604229,0.9999
218,Reduce inflation from 7 to 55,MsgExecLegacyContent,PASSED,"6 days, 21 hours 20 minutes",0.838951172,0.954
237,Revive GravityComdex IBC client,MsgExecLegacyContent,PASSED,"5 days, 2 hours 54 minutes",0.83832927,1.0
101,Add LUNC Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 9 hours 3 minutes",0.837906748,0.953
114,Unfreeze IBC transfers between HAQQ TestEdge2 and Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.837581569,0.9978
170,Gravity Growth and Sustainability Grant,MsgExecLegacyContent,PASSED,"5 days, 0 hours 7 minutes",0.836666949,0.9595
221,Add MEME Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 12 minutes",0.836403907,0.9998
84,Reactivate expired IBC client 07tendermint190 for FUND,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.836059868,1.0
41,Setup Stargaze IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.835450492,0.9999
42,Setup Chihuahua IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.835449446,0.9999
194,Hatsfinance Bug Bounty Committee,MsgExecLegacyContent,PASSED,"5 days, 9 hours 49 minutes",0.830480322,0.995
223,Setup Neutaro IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.829814036,0.9999
142,Reduce minimum inflation and tune inflation parameters,MsgExecLegacyContent,PASSED,"5 days, 0 hours 10 minutes",0.826768832,0.979
220,Auction Module MinBidFee Update,MsgExecLegacyContent,PASSED,"6 days, 7 hours 55 minutes",0.823288818,0.9999
102,Add USTC Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 3 minutes",0.822340585,0.9206
45,Setup Osmosis IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.821600542,0.9999
78,Proposal for external incentives to Cresecent DEX LPs bCREGRAV and AtomUSDCgrv,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.819045981,0.9887
46,Setup Cosmos Hub IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.818203605,0.9999
224,Setup MEME IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.817373433,0.9999
43,Setup Crescent IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.816921205,0.9999
219,Auction Module MinBidFee Update,MsgExecLegacyContent,PASSED,"6 days, 23 hours 10 minutes",0.812990164,0.9999
75,Setup Regen Network IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.808810148,0.982
95,Setup ISLM IBC AutoForwarding correct,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.806650668,0.9999
107,Reduce Inflation,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.80466419,0.846
106,Increase minimum commission to 10,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.803491342,0.7125
215,Setup Archway IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 15 hours 31 minutes",0.802447289,0.9999
67,Gravity Growth Grant 3 Cross Dex Yield Finder,MsgExecLegacyContent,PASSED,"5 days, 0 hours 3 minutes",0.800541269,0.9998
205,Reduce inflation from 85 to 7,MsgExecLegacyContent,PASSED,"5 days, 0 hours 2 minutes",0.79600975,0.9946
58,Polaris Upgrade,MsgExecLegacyContent,PASSED,"5 days, 0 hours 2 minutes",0.792392941,0.9999
216,Add ARCH token to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 5 hours 20 minutes",0.786872453,0.9999
64,Advancing Ethermint GTM and Engineering Plan for the Ethermint Chain,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.782263511,0.9974
60,Register MNTL token metadata,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.778832472,0.9999
61,Setup MNTL IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.778157445,1.0
217,COMMUNITY SPEND BOUNTY and INCENTIVES,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.77491094,0.9999
17,Add ATOM metadata on Gravity Bridge,MsgExecLegacyContent,PASSED,"2 days, 0 hours 0 minutes",0.773647309,0.9999
15,Part 2  ATOM Airdrop,MsgExecLegacyContent,PASSED,"2 days, 0 hours 0 minutes",0.77197203,0.9734
80,HAQQ testnet token ISLMT  metadata,MsgExecLegacyContent,PASSED,"5 days, 0 hours 9 minutes",0.768777393,0.3439
16,GRAV Airdrop Osmosis and ION holders,MsgExecLegacyContent,PASSED,"2 days, 0 hours 0 minutes",0.755371782,0.7263
227,Recover user funds stuck in community pool,MsgExecLegacyContent,PASSED,"5 days, 5 hours 51 minutes",0.754803215,0.9998
52,GRAV incentives for ATOM and OSMO gUSDC liquidity pools,MsgExecLegacyContent,PASSED,"5 days, 0 hours 14 minutes",0.752995264,0.9992
166,Inflation Adjustment  Set InflationMin to 10 and InflationMax to 20,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.75182764,0.9855
55,Reduce inflation bonding target,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.750968616,0.9983
234,Gravity Bridge Chain Fee Increase,MsgExecLegacyContent,PASSED,"5 days, 0 hours 9 minutes",0.748747033,0.9999
47,Kinesis AMM shared incentivesCommunity Spend to provide liquidity incentives,MsgExecLegacyContent,PASSED,"5 days, 0 hours 4 minutes",0.74872634,0.9992
40,Gravity Bridge Upgrade to fix IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 7 minutes",0.747948708,0.9999
104,Updating frozenexpired client for gravitybridge3  comdex1,MsgExecLegacyContent,PASSED,"5 days, 2 hours 47 minutes",0.739666152,0.9999
62,Setup Evmos IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.735372289,0.9999
229,Add AQLA Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 55 minutes",0.734945886,0.9751
79,Setup Agoric IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.734279973,0.9954
51,Update expired client between Gravity Bridge and Cheqd,MsgExecLegacyContent,PASSED,"5 days, 0 hours 57 minutes",0.709808843,0.9999
56,Setup SCRT Network IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 9 minutes",0.706577618,0.9999
49,Add GRAV Liquidity to Sifchain DEX Incentivized Pool and Provide GRAVROWN IBC Relayer Grant ,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.693835819,0.8193
38,Renew Gravity liquidity incentives to GRAVOSMO Osmosis pool 625,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.684195501,0.9998
53,Formation of ICS 721  NFT workgroup,MsgExecLegacyContent,PASSED,"5 days, 0 hours 2 minutes",0.683716341,0.9999
230,Increase Gravity Bridge chain fee ,MsgExecLegacyContent,PASSED,"6 days, 8 hours 19 minutes",0.673898471,0.9999
233,Add Althea L1 Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 0 hours 2 minutes",0.664046201,0.9999
232,Setup Althea L1 IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 4 minutes",0.664046201,1.0
248,Increase Proposal Deposit Requirement,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.659937682,1.0
